STATE,County_Name,GEOID.State,GEOID.County,GEOID.Tract,LatLong,Life Expectancy,Self-Reported Physical Health,Self-Reported Mental Health,Alcohol Abuse,Current Diabetes,Current Adult Asthma,Stroke,COPD,CHD,Cancer,High Blood Pressure,Cholesterol Screening,Routine Doctor Visit,Colonoscopy,Mammogram,Older Men Preventive Screening,Older Women Preventive Screening,Dental Exams,Proximity to Nursing Homes,Medically Underserved Areas,Current Lack of Health Insurance,Proximity to hospitals,Below Poverty,Unemployed,Low Income,No High School Diploma,Religious Organizations,Civic and Social Organizations,Aged 65 or Older,Aged 17 or Younger,Civilian with a Disability,Single-Parent Households,Minority,Speaks English Less than Well,Redlining,Multi-Unit Structures,Mobile Homes,Crowding,No Vehicle,Group Quarters,Housing Foreclosure Risk,Percent of Housing Units Built Between 1940-1969 as of 2015-2019,Flooding risk to roads,Lane miles per capita,Road Quality and Maintenance,Public Transit Performance,Bridge Quality and Maintenance,Walkability,Bikability,Residential Energy Cost Burden,EV Charging Stations,Modified Retail Food Environment Index,Indoor Plumbing,Percent of Household with no internet access,Percent of household with smartphone but no other device.,Housing Affordability (renters),Housing Affordability (owners),Public Library Locations,HUD Public Housing,Total vehicle miles traveled per capita,Passenger vehicle miles traveled per capita,Truck vehicle miles traveled per capita,Heavy Duty Vehicle vehicle miles traveled per capita,Proximity to Ports,Rail Crossings,Traffic Proximity and Volume,National Transportation Noise Map,Risk-Screening Environmental Indicators (RSEI),Air Tox Respiratory,Air Tox Neurological,Air Tox Liver,Air Tox Developmental,Air Tox Reproductive,Air Tox Kidney,Air Tox Immunological,Air Tox Thyroid,Air Tox Total Cancer Risk,Lead Paint: % housing units built before 1960,Superfund Sites,Brownfields,Stream Toxicity Risk-Screening Environmental Indicators (RSEI),NPL sites,Hazardous Waste Management Facilities (TSDFs),Facilities with Enforcement or Violation,TSCA Facilities,Risk Management Plan Facilities,Chemical Manufacturers,Metal Recyclers,Annual average PM2.5 concentrations,NO2 concentration,Ozone concentration,Parks and Greenspace,Impermeable Surfaces,Forest Land Cover,Increased PM2.5 mortality - CVD (ages 65+),Increase in childhood asthma incidence,Expected Annual Loss - Agriculture Value,Expected Annual Loss - Building Value,Expected Annual Loss - Population Equivalence,Methane Emissions,Days with maximum temperature above 35C,Days with maximum temperature above 40C,Frost Days,Maximum of maximum temperatures,Mean temperature,Urban Heat Island Extreme Heat Days,Consecutive Dry Days,Wildfire - Annualized Frequency,Surface PM2.5,Snowfall,Standardized Precip Index,Total Precipitation,Riverine Flooding - Annualized Frequency,Tornado - Annualized Frequency
MI,Wayne,26,26163,26163500100,"+42.4444014,-082.9509210",68.3,16.5,18.2,17.2,13.1,14.6,4.1,8.2,5.8,4.8,41.5,30.8,82.9,63.6,81.1,29.6,26.9,58.4,3.611026863,2,13.3,5.47,0.6622,0.9194,0.8027,0.4263,0.9538951,0,0.0878,0.6454,0.5705,0.9831,0.9458,0,3,0.4086,0,0.675,0.6207,0,31.7,90.73,1.13,0,166.69,5.93,NA,58,47,9,0.854033213,7,1.92267162,27.4,5.5,100,25,1.541800371,NA,12.38,12.22,0.1,0.06,NA,0,437.648243015923,50.8854103,6280,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,93.3152932940889,NA,19.1134884,NA,0.155246987629879,1.95421063902527,2.119528047,0.263113423,0.30956116055946,0.652683111,0.124979935,8.4,4.262,40,1,60.7,0,-3e-4,-7.36e-5,0,18193.58488,37605.82806,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,0.00051948300000000005
MI,Wayne,26,26163,26163500200,"+42.4461071,-082.9633178",71,15,16.5,17.4,12.7,13.8,3.8,7.2,5.3,4.9,39.6,29.8,83.5,66.5,81.8,30,28.2,62.6,2.481125236,2,11.9,6.73,0.7479,0.9598,0.7322,0.3517,0.6951686,0.3475843,0.1985,0.8526,0.0725,0.9939,0.9431,0,3,0.243,0.5669,0,0.4771,0,30.6,85.1,1.13,0,201.04,6.15,NA,64,55,7,1.281012243,0,1.582695019,26.5,1.7,0,15,1.356189923,NA,16.56,16.23,0.24,0.09,NA,0,1403.97273431177,53.7975616,6020,0.3,0.04,0.02,0.07,0.08,0.02,0.04,0.003,30,92.3395571729383,NA,22.06921217,NA,0.143728605777754,1.72597609853309,4.968387047,0.601686653,0.578515334835489,1.55113444,0.491186897,8.3,4.294,39.92,0,64.6,0,-2.9e-4,-1.26e-4,0,14014.01156,30360.38021,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.07479e-4
MI,Wayne,26,26163,26163500300,"+42.4388723,-082.9656436",67.9,17.9,19.9,16.9,13.9,14.9,4.3,8.7,6,4.2,41.6,30.3,82.2,59.4,81.6,26.3,24.5,52.7,2.42435046,2,15.3,6.37,0.8632,0.9854,0.9297,0.5831,1.426534,0,0.0176,0.7401,0.1793,0.9883,0.9538,0.2767,3,0.3858,0.5312,0.319,0.8393,0.6972,33.3,64.81,1.13,0,178.3,6.9,NA,56,51,10,0.633719484,4,1.453644991,35.5,6.8,60,10,1.210995759,NA,19.37,18.95,0.3,0.12,NA,0,1012.78553090365,55.4029808,4700,0.3,0.04,0.02,0.06,0.08,0.02,0.03,0.003,30,88.8725712793714,NA,23.85645771,NA,0.13170244154429,1.58621342854212,4.352216318,0.554765165,0.536852604789559,0.436415962,0.280861844,8.279,4.234,39.98,1,63.8,0,-3.1e-4,-7.97e-5,0,13935.43302,30763.04902,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.99276e-4
MI,Wayne,26,26163,26163500400,"+42.4261558,-082.9793388",71.6,21.2,22.2,15.8,16.4,16,5.2,10.7,7,4.2,43.3,31,82.3,55.8,81.8,23,21.6,45.4,2.009260548,2,18.1,7.29,0.9599,0.9953,0.9743,0.6694,2.592913,0.8643042,0.1327,0.8684,0.8429,0.9924,0.9627,0,2,0.5196,0.5312,0,0.8744,0.6113,34.7,52.89,1.13,0,121.88,6.9,NA,54,60,14,0.152892745,10,0.586414045,38.5,5,40,35,0.412697961,NA,56.57,55.17,1.14,0.27,NA,0,2036.88264977487,52.3614998,679,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,84.4365587092819,NA,27.37275505,NA,0.108073506200502,1.68672919803393,5.54737587,0.564660165,1.13696364869677,0.625907175,0.825892881,8.156,4.235,40,0,64.3,0,-2.8e-4,-1.04e-4,0,9354.25623,16460.41283,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,3.4937e-7,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.60663e-4
MI,Wayne,26,26163,26163500500,"+42.4241342,-082.9679434",72,16,17.4,17.1,13.8,14.4,4.3,7.8,5.6,4.8,41.8,30.4,83.5,65.3,82.8,28.7,25.6,59,2.873979497,2,13.4,6,0.7884,0.9673,0.9085,0.5427,0,0,0.0783,0.5394,0.5154,0.9723,0.9892,0,1,0.4028,0,0,0.6984,0.7502,32.7,82.02,1.13,0,138.46,6.9,NA,44,64,10,0.05333852,12,0.670413617,36.3,10.5,40,20,0.707715958,NA,11.07,11.03,0.03,0.01,NA,0,207.062750378062,51.715519,1560,0.3,0.04,0.02,0.06,0.08,0.02,0.03,0.003,30,84.5478619386136,NA,26.57151413,NA,0.111222010082761,1.3195439349104,3.176887274,0.338619743,0.701880394843362,0.302295438,0.167500382,8.2,4.273,40.11,2,63.5,0,-3.2e-4,-7.27e-5,0,11454.58471,21775.98647,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,2.12674e-7,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.37954e-4
MI,Wayne,26,26163,26163500600,"+42.4315247,-082.9651767",71,17.5,19.3,16.5,14.2,15.2,4.4,8.5,5.8,4.5,43.7,31.5,83.2,61.9,82.3,26.2,25.5,55.4,2.735896146,2,14.1,5.94,0.7351,0.9544,0.8841,0.5427,1.774308,1.419446,0.0322,0.8805,0.0994,0.9899,0.9967,0,2,0.243,0,0.3397,0.7875,0,33.2,80.89,1.13,0,247.59,6.9,NA,53,51,9,0.293101113,14,1.133871457,30.4,5.1,35,25,1.069218621,NA,16.88,16.72,0.09,0.07,NA,0,841.563094889255,52.0669403,3430,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,89.0121350053606,NA,24.92526305,NA,0.120003456053702,1.50068967892262,3.539209753,0.441955045,0.663465257277473,0.096351166,0.201832078,8.233,4.23,40.07,1,61.4,0,-3.3e-4,-1.22e-4,0,17628.69666,36588.53631,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,1.41925e-7,-2.637837648,-0.152078941,44.7876662,7.584296912,0,6.25459e-4
MI,Wayne,26,26163,26163500700,"+42.4295995,-082.9473259",73.4,19.8,20.9,15.9,15,15.8,4.8,10.1,6.6,4.6,42.2,31.2,82.4,59,80.4,25.8,23.8,50.8,4.229852915,2,17,3.94,0.9142,0.9774,0.953,0.8734,0.6069189,0,0.0672,0.8952,0.8253,0.974,0.9616,0,1,0.5863,0,0.787,0.7419,0,31.4,73.83,1.12,0,209.32,6.2,NA,47,44,10,0.327922759,14,1.777434129,34.4,15.5,280,50,1.3442298,NA,11.98,11.83,0.09,0.06,NA,0,1453.88951605127,50.5732498,6220,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,97.3103055118436,NA,20.00477248,NA,0.133160983018373,0.867678831966408,1.465798923,0.109033718,0.199109576228435,0.017321001,NA,8.267,4.199,40.06,0,59.8,0,-2.8e-4,-8.61e-5,0,20774.16376,43249.1499,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.90451e-4
MI,Wayne,26,26163,26163500800,"+42.4246567,-082.9351961",71.9,20.9,20.6,15.4,16.4,15.6,5.2,11,7.5,5,42.7,32,82.7,58,80.9,26,23.2,50,4.904365444,2,16.3,2.43,0.9455,0.8991,0.9387,0.681,0.685401,0,0.1091,0.8867,0.8429,0.9784,0.9262,0,1,0,0.6584,0.7922,0.739,0,30,80.53,1.12,0,126.64,6.2,NA,41,43,7,0.69628787,11,2.698627843,31.2,15.1,135,105,1.431634943,NA,40.5,38.71,0.37,1.43,NA,0,3652.17960371338,53.968441,2590,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,97.9070040005509,NA,14.73303456,NA,0.133219281108172,0.726138066068677,1.654045314,NA,0.232130771089504,NA,NA,8.333,4.157,39.85,1,55.5,0,-2.2e-4,-6.16e-5,0,14230.72864,24543.41106,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.36864e-4
MI,Wayne,26,26163,26163500900,"+42.4223549,-082.9475917",72.4,23.8,23.3,14.1,18.8,17.2,6.2,12.5,8.3,4.8,46.1,33.1,83.2,55.5,81.4,22,20.8,44.1,4.1873471,2,18.7,3.72,0.9478,0.9458,0.9577,0.918,0.8784773,0,0.0726,0.7239,0.8616,0.9317,0.9577,0,1,0.7195,0,0.8139,0.9087,0,31,66.01,1.12,0,83.17,6.9,NA,55,45,7,0.419670938,10,1.921065175,31.5,5.8,330,75,1.170430554,NA,21.94,21.18,0.13,0.63,NA,0,102.086209861253,52.4185104,5000,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,94.9164261481226,NA,20.84291605,NA,0.121689142735143,0.742348701626077,1.722806076,0.10935461,0.233296444335064,0.052481084,NA,8.3,4.132,39.92,1,61.2,0,-3e-4,-1.13e-4,0,17360.40812,39835.14866,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.83868e-4
MI,Wayne,26,26163,26163501000,"+42.4187276,-082.9515638",70.8,20.8,21.1,15.3,16.8,16,5.4,10.4,7,4.7,45.1,32.2,83.3,57.9,81.7,23.9,23.1,49.5,4.089325772,2,16.3,4.15,0.9375,0.9608,0.9362,0.821,1.756235,0.351247,0.0423,0.9543,0.7456,0.8872,0.9742,0,1,0.5557,0.4938,0.8175,0.8787,0.3791,63.3,66.48,1.12,0,81.14,6.9,NA,57,45,6,0.458602858,13,1.672575864,40.2,7.7,110,20,0.967385542,NA,20.06,19.28,0.13,0.66,NA,0,136.015409008297,52.4892883,3210,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,96.1069820249132,NA,23.37807121,NA,0.114575497731975,0.755856150934339,1.891624245,0.090505778,0.254949113017899,0.12247823,0.002738069,8.333,4.192,40.08,1,61.9,0,-2.8e-4,-1.27e-4,0,13845.10002,34552.82615,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.48712e-4
MI,Wayne,26,26163,26163501100,"+42.4128315,-082.9601612",75.7,22.4,21.7,14.5,18.9,16.3,6.2,11.7,8.4,5,48.2,34.3,83.7,58.5,81.6,23,22.7,47,3.557693567,2,17,5.21,0.9878,0.9837,0.9726,0.8117,1.709986,0,0.113,0.8975,0.8395,0.9828,0.9692,0,1,0.4392,0,0,0.9433,0.5476,32.6,59.96,1.12,0,76.98,6.9,NA,41,38,9,0.155710691,11,0.995863029,38.9,18.1,270,100,0.532370927,NA,30.59,29.5,0.18,0.91,NA,0,256.834264182391,52.8710899,2620,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,92.5371251548801,NA,27.72175598,NA,0.103318182604151,0.886861772970778,2.362070756,0.074865228,0.278327396566695,0.417770096,0.168797353,8.3,4.31,39.89,0,63.5,0,-3.2e-4,-8.82e-5,0,18051.58702,37150.37029,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.9288e-4
MI,Wayne,26,26163,26163501200,"+42.4114379,-082.9513090",74.1,23.1,22.8,14.4,18.9,17,6.3,12.3,8.3,4.8,46.5,33.3,83.5,56.7,81.4,23.3,22,44.7,3.984212726,2,18.3,4.3,0.98740000000000006,0.9957,0.9821,0.831,0.6176652,0,0.25,0.9467,0.9697,0.9257,0.9918,0,1,0.6654,0,0.6658,0.934,0,31.9,56.58,1.12,0,75.15,6.9,NA,51,44,10,0.556624752,8,1.855473007,45.3,14.7,95,0,0.891578589,NA,71.53,67.98,0.59,2.95,NA,0,2904.29857884322,53.3608208,1500,0.3,0.04,0.02,0.07,0.08,0.02,0.03,0.003,30,94.6699318677809,NA,25.20034654,NA,0.106716416892274,0.862572079772228,2.445386916,NA,0.284236590013867,0.212750892,0.069218896,8.296,4.168,39.92,0,63.1,0,-3.3e-4,-7.89e-5,0,9881.256006,19398.68124,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.33619e-4
MI,Wayne,26,26163,26163501300,"+42.4033690,-082.9505462",75.4,22.8,22.2,14.2,18.8,16.7,6.3,12,8.4,5,48,34.3,83.7,58.1,81.7,22.9,21.8,46.3,3.403819656,2,17.2,4.73,0.9808,0.9888,0.9574,0.8175,0.9096422,0.3032141,0.2771,0.9095,0.9597,0.9474,0.984,0,2,0.2956,0,0.5553,0.8678,0.44,96.7,56.11,1.12,0,93.33,6.9,NA,51,59,9,0.759398167,5,1.953571294,36.7,12.1,195,45,0.815346035,NA,39.71,37.92,0.33,1.46,NA,0,3066.87277044883,50.9126091,2400,0.3,0.04,0.02,0.06,0.08,0.02,0.03,0.003,30,89.9339702696503,NA,24.50461349,NA,0.097474305471638,0.753094720060163,3.46281239,NA,0.422717700196097,0.422929024,0.175425015,8.3,4.3,39.9,1,65.3,0,-3.1e-4,-1.02e-4,0,19040.19039,37876.44951,779526718707,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.9286e-4
MI,Wayne,26,26163,26163501400,"+42.4091561,-082.9385202",73.3,17.2,17.1,15.8,15.2,14.4,4.7,8.7,6.7,5.4,42,31.9,84.1,64.5,82.6,29.3,27,59.7,4.062934501,2,12.2,3.14,0.875,0.9458,0.7715,0.5116,1.689189,0.2815315,0.2657,0.8303,0.5292,0.9099,0.9057,0,1,0,0,0,0.6479,0.5022,155.4,47.18,1.12,0,115.04,6.9,NA,68,51,7,1.174591435,16,2.93537824,23.9,6,165,60,1.276511788,NA,41.47,39.83,0.3,1.33,NA,0,1134.49492102567,51.657341,3680,0.3,0.04,0.02,0.06,0.08,0.02,0.03,0.003,30,92.5902773349634,NA,18.20422488,NA,0.108104955179144,0.600400230932969,2.62428645,NA,0.341984094846896,0.042157005,NA,8.533,4.098,39.84,0,62.3,0,-2.5e-4,-3.52e-5,0,23833.92324,38581.13662,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.9772e-4
MI,Wayne,26,26163,26163501500,"+42.4183457,-082.9264931",70.9,21.5,20.7,14.9,17,15.5,5.6,11.5,8.3,5.4,46.1,34.2,82.8,58.2,80.4,25.6,22.5,49.7,4.700077281,1,16,1.38,0.9719,0.7652,0.931,0.6662,0.6248698,0,0.0847,0.991,0.6823,0.9951,0.9122,0.2767,1,0.2312,0,0.6373,0.7996,0.7313,89.4,82.82,1.42,0,148.14,6.2,NA,39,41,8,1.369448231,15,3.543175472,30.1,18.2,185,140,1.496952891,NA,38.99,37.41,0.33,1.25,NA,0,2536.61395618533,54.8995514,4280,0.3,0.03,0.02,0.07,0.08,0.02,0.03,0.003,30,91.5050583452252,NA,9.511306524,NA,0.12961300802545,0.552015731443467,1.94048242,NA,0.306086964751353,NA,NA,8.467,4.089,39.8,1,56,0,-2.4e-4,-7.42e-5,0,22378.12484,40634.63894,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,6.40662e-4
MI,Wayne,26,26163,26163501600,"+42.4129132,-082.9207524",71.6,20,19.6,16.3,15.6,14.9,5,10.8,7.7,5.7,43.3,34.1,82.1,60.9,79.2,28.3,26,54.5,4.338692885,1,14.3,1.45,0.929,0.9581,0.8959,0.739,0.4852014,0,0.1487,0.7067,0.8136,0.9495,0.8615,0,3,0.536,0.6069,0.2418,0.9087,0,29.6,71.71,1.48,0,171.49,5.33,NA,52,50,8,1.759328212,13,3.800340261,32.8,12.7,105,50,1.570818552,NA,21.58,21.25,0.19,0.13,NA,0,1466.81043335662,50.522789,2330,0.3,0.03,0.02,0.06,0.07,0.02,0.03,0.003,20,95.0438588327895,NA,5.780008123,NA,0.119783476998377,0.470755845148213,2.146617009,NA,0.386887078101968,NA,NA,8.7,4.162,39.98,1,59.9,0,-2.9e-4,-1.62e-4,0,16995.58873,19812.76846,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,1.19638e-6,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.9069e-4
MI,Wayne,26,26163,26163501700,"+42.4042423,-082.9212936",NA,23.1,20.4,14.6,18.2,15.1,6.8,13.7,11,7,47.4,37.2,82.5,57,77.8,26.7,21.1,49.2,3.524722491,1,17,2.37,0.9277,0.8375,0.8905,0.8793,2.321263,0,0.8423,0.3759,0.9165,0.8851,0.7991,0.4116,2,0.5945,0.4282,0,0.904,0.9541,28.4,57.09,1.16,0,127.03,5.88,NA,NA,NA,10,1.807338854,26,3.635635798,51.8,8.3,90,10,1.488963677,NA,21.94,21.65,0.17,0.12,NA,0,753.377417856861,56.2214508,2230,0.3,0.03,0.02,0.06,0.07,0.02,0.03,0.003,20,93.1701783659324,NA,7.260294107,NA,0.106845091840369,0.284422239381343,2.423792243,NA,0.364555896897099,NA,NA,8.7,4.205,39.93,1,60.4,0,-2.2e-4,-8.64e-5,0.133050826,17321.50192,23378.11608,760168263086,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.88203e-4
MI,Wayne,26,26163,26163501800,"+42.3983391,-082.9316723",73.5,14.6,15,17.1,12.8,13.2,3.9,7.5,6,5.9,39.5,32,83.5,68.2,81.6,32.9,29.7,66.5,3.075928271,2,10.3,2.85,0.6224,0.921,0.5946,0.2705,0.7942812,0.1985703,0.3392,0.6187,0.8679,0.8576,0.8409,0,2,0.2312,0.4524,0,0.7307,0.5476,29.1,48.25,1.12,0,209.99,6.15,NA,54,62,6,1.571890555,31,3.042320192,18.7,9.1,60,110,1.204230409,NA,10.97,10.83,0.09,0.06,NA,0,797.047764052012,53.4411697,3270,0.3,0.03,0.02,0.06,0.07,0.02,0.03,0.003,20,91.0478508052402,NA,12.93546313,NA,0.098512012074024,0.435998789621998,3.348253295,NA,0.291159994165821,0.115009517,NA,8.633,4.259,39.95,1,57.9,0,-2.1e-4,-4.42e-5,0,28370.01125,44049.42085,503720626102,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,6.19523e-4
MI,Wayne,26,26163,26163501900,"+42.3952603,-082.9401000",72,23.7,23.3,14.3,18.9,16.8,6.2,12.3,8.3,4.7,47.2,33.7,83.1,55.3,81.4,21.7,21.2,43.9,2.856918865,2,18.1,3.3,0.9635,0.9487,0.9594,0.7659,1.284109,0,0.0847,0.9669,0.5154,0.9643,0.9586,0.2767,2,0.3792,0,0.8175,0.8812,0.6536,33,46.11,1.12,0,203.29,6.15,NA,49,57,10,1.290054333,17,2.457584381,28.2,7.3,150,85,0.907756433,NA,4.6,4.5,0.06,0.04,NA,0,512.618457777306,53.7956696,1750,0.3,0.04,0.02,0.06,0.07,0.02,0.03,0.003,20,94.6725108153987,NA,16.92121792,NA,0.093611030390554,0.713088890377211,4.348045058,NA,0.508577950509575,0.327232212,0.033743402,8.549,4.274,39.92,0,62.8,0,-3e-4,-6.25e-5,0,14785.46926,30296.54189,361817564107,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.33619e-4
MI,Wayne,26,26163,26163502000,"+42.3932938,-082.9469658",67.9,18.8,19.5,15.2,15.8,15.5,4.9,9.3,6.7,4.7,42.8,31,83.7,61.1,81.9,24.8,24.9,53.3,2.903643608,2,14.4,3.86,0.8943,0.8842,0.9306,0.4895,0.4366812,0,0.0604,0.9581,0.5292,0.9869,0.9556,0,2,0.3048,0,0.498,0.8716,0.44,32.3,33.37,1.31,0,221.99,6.15,NA,52,53,8,1.119834459,12,1.960807955,22.1,9.3,55,30,0.6399521,NA,12.32,12.15,0.1,0.07,NA,0,747.291737947062,53.6008301,1280,0.3,0.04,0.02,0.06,0.07,0.02,0.03,0.003,30,90.9675444978017,NA,19.48579674,NA,0.089782875828608,0.850912404863039,4.907132435,NA,0.570860280608784,0.684378737,0.113228891,8.433,4.354,39.96,0,59.5,0,-2.9e-4,-1.13e-4,0,11481.16419,23303.12457,318569076384,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.48496e-4
MI,Wayne,26,26163,26163503100,"+42.4461391,-082.9778891",75.2,19.9,18.9,14.9,17.7,15,5.7,10.4,8,5.7,46.4,34,84.4,62.1,81.1,26.1,23.8,53.6,1.817834387,2,14.8,8.09,0.7865,0.8518,0.9212,0.6303,0.9950249,0,0.2828,0.8045,0.6766,0.9978,0.9382,0.2381,3,0,0.5583,0.5281,0.7307,0.8846,31.8,86.31,1.13,0,162.24,5.33,NA,54,53,9,1.400905997,6,1.379006851,24.5,4.5,55,50,0.877361755,NA,20.89,20.53,0.27,0.1,NA,0,1631.00039375363,52.1407814,6980,0.3,0.04,0.02,0.07,0.08,0.02,0.04,0.003,30,94.8755110783569,NA,23.46758999,NA,0.126199744355848,1.86073258280882,7.4583191,0.820844038,1.09320938192573,2.037861737,1.189450324,8.2,4.341,39.96,2,64.7,0,-2.8e-4,-1.74e-4,0,18794.63444,30069.44949,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.47563e-4
MI,Wayne,26,26163,26163503200,"+42.4454982,-082.9953169",72,20.5,21.9,15.8,15.4,16,4.9,10.3,6.6,4.3,43.1,30.9,82.3,57.5,80.5,24.4,23.1,48.2,2.082832797,2,17,9.12,0.9094,0.9819,0.9293,0.6926,0.8159935,0,0.0384,0.9259,0.2769,0.9972,0.9164,0,3,0,0,0,0.7051,0,31.4,89.45,1.13,0,191.1,5.3,NA,50,48,11,1.035114412,15,1.278998065,31.8,9,110,20,0.610730378,NA,19.33,18.94,0.23,0.15,NA,0,1099.63790833093,53.6833916,11400,0.3,0.04,0.03,0.07,0.09,0.02,0.04,0.003,30,96.9324589490535,NA,22.8965247,NA,0.109341038473386,3.79936061403274,10.67817559,0.964055926,2.4156897138751,2.265996089,2.959385506,8.3,4.376,39.97,0,63.8,0,-2.2e-4,-1.39e-4,0,19154.96678,37673.32744,773507442586,9.464799754,2.287111682,-36.00537714,3.665374345,3.741883988,18,-0.085960283,0,-2.565281607,-0.150279991,43.70552257,7.626177543,0,5.97538e-4
MI,Wayne,26,26163,26163503300,"+42.4383158,-082.9950446",68.4,18.9,20,15.8,15.3,15.4,4.8,9.3,6.4,4.6,42.5,30.9,83.1,60.7,81.6,26,24.1,52.5,1.38355267,2,15.4,9.4,0.8535,0.99,0.8817,0.6751,0.3011141,0,0.0487,0.4558,0.7456,0.9734,0.9705,0,2,0.2852,0.436,0.4495,0.771,0,33.2,87.19,1.13,0,149.51,6.9,NA,43,43,8,0.457578814,12,0.962253759,37.3,7,170,40,0.343545271,NA,8.04,7.89,0.08,0.07,NA,0,468.207183191168,50.4365311,9070,0.3,0.04,0.03,0.07,0.09,0.02,0.04,0.003,30,95.8717595496084,NA,25.18407033,NA,0.104819225259739,2.68237468723996,9.679638354,0.905723516,1.98984870151709,1.597430074,2.853528278,8.167,4.378,40,2,61.8,0,-3.1e-4,-8.43e-5,0,18129.23314,42649.21871,776918521415,9.434068286,2.277964633,-36.00282721,3.666388608,3.741755169,18,-0.088599454,0,-2.568983452,-0.150371775,43.76073407,7.624040773,0,6.01032e-4
MI,Wayne,26,26163,26163503400,"+42.4389974,-082.9801546",72,19.6,19.9,15.3,16.5,14.8,5,9.9,7.2,4.6,43.1,32.7,82.5,59.1,80.3,24.5,25.4,50.8,1.399483874,2,15.8,7.87,0.8655,0.9424,0.8938,0.5792,0.8278146,0,0.1327,0.4336,0.8736,0.9317,0.9742,0.5866,2,0.6418,0.5312,0.3601,0.9297,0,33.3,72.45,1.13,0,142.76,6.9,NA,66,67,11,0.659752424,11,1.15757475,48.9,12.9,55,20,0.708645741,NA,32.78,32.05,0.56,0.16,NA,0,1438.50154932523,53.4511185,2570,0.3,0.04,0.02,0.07,0.09,0.02,0.04,0.003,30,92.2167901304612,NA,25.72268323,NA,0.11762424481441,1.85493563848282,7.090390001,0.800189786,1.17552281725873,0.976317768,0.799841983,8.2,4.302,40,0,68.5,0,-2.8e-4,-6e-5,0,8741.534093,15388.17162,840383715712,8.862463951,2.107829809,-35.95539856,3.685253859,3.73935914,18,-0.137687949,0,-2.637837648,-0.152078941,44.7876662,7.584296912,0,5.33619e-4
