STATE,County_Name,GEOID.State,GEOID.County,GEOID.Tract,LatLong,Life Expectancy,Self-Reported Physical Health,Self-Reported Mental Health,Alcohol Abuse,Current Diabetes,Current Adult Asthma,Stroke,COPD,CHD,Cancer,High Blood Pressure,Cholesterol Screening,Routine Doctor Visit,Colonoscopy,Mammogram,Older Men Preventive Screening,Older Women Preventive Screening,Dental Exams,Proximity to Nursing Homes,Medically Underserved Areas,Current Lack of Health Insurance,Proximity to hospitals,Below Poverty,Unemployed,Low Income,No High School Diploma,Religious Organizations,Civic and Social Organizations,Aged 65 or Older,Aged 17 or Younger,Civilian with a Disability,Single-Parent Households,Minority,Speaks English Less than Well,Redlining,Multi-Unit Structures,Mobile Homes,Crowding,No Vehicle,Group Quarters,Housing Foreclosure Risk,Percent of Housing Units Built Between 1940-1969 as of 2015-2019,Flooding risk to roads,Lane miles per capita,Road Quality and Maintenance,Public Transit Performance,Bridge Quality and Maintenance,Walkability,Bikability,Residential Energy Cost Burden,EV Charging Stations,Modified Retail Food Environment Index,Indoor Plumbing,Percent of Household with no internet access,Percent of household with smartphone but no other device.,Housing Affordability (renters),Housing Affordability (owners),Public Library Locations,HUD Public Housing,Total vehicle miles traveled per capita,Passenger vehicle miles traveled per capita,Truck vehicle miles traveled per capita,Heavy Duty Vehicle vehicle miles traveled per capita,Proximity to Ports,Rail Crossings,Traffic Proximity and Volume,National Transportation Noise Map,Risk-Screening Environmental Indicators (RSEI),Air Tox Respiratory,Air Tox Neurological,Air Tox Liver,Air Tox Developmental,Air Tox Reproductive,Air Tox Kidney,Air Tox Immunological,Air Tox Thyroid,Air Tox Total Cancer Risk,Lead Paint: % housing units built before 1960,Superfund Sites,Brownfields,Stream Toxicity Risk-Screening Environmental Indicators (RSEI),NPL sites,Hazardous Waste Management Facilities (TSDFs),Facilities with Enforcement or Violation,TSCA Facilities,Risk Management Plan Facilities,Chemical Manufacturers,Metal Recyclers,Annual average PM2.5 concentrations,NO2 concentration,Ozone concentration,Parks and Greenspace,Impermeable Surfaces,Forest Land Cover,Increased PM2.5 mortality - CVD (ages 65+),Increase in childhood asthma incidence,Expected Annual Loss - Agriculture Value,Expected Annual Loss - Building Value,Expected Annual Loss - Population Equivalence,Methane Emissions,Days with maximum temperature above 35C,Days with maximum temperature above 40C,Frost Days,Maximum of maximum temperatures,Mean temperature,Urban Heat Island Extreme Heat Days,Consecutive Dry Days,Wildfire - Annualized Frequency,Surface PM2.5,Snowfall,Standardized Precip Index,Total Precipitation,Riverine Flooding - Annualized Frequency,Tornado - Annualized Frequency
MI,Wayne,26,26163,26163516000,"+42.3714831,-083.0093251",66.2,19.6,17.6,14.4,18.4,14.8,6.3,10.3,8.6,6.4,48.1,35,85.1,62.6,81.1,26.1,23.8,55.8,10.63761246,2,14.3,5.71,0.8743,0.8244,0.8696,0.8326,4.512126,0,0.7678,0.053900000000000003,0.9757,0.4782,0.9025,0,3,0.4655,0,0.3397,0.9496,0.912,66.3,38.97,1.44,0,119.9,6.9,NA,54,67,10,4.315768972,NA,0.335716023,45.6,10.5,70,60,0.165022002,NA,14.91,14.37,0.25,0.3,NA,0,804.293836920431,52.1762314,1790,0.3,0.05,0.02,0.07,0.08,0.02,0.03,0.004,30,89.791831776865,NA,42.0799263,1.38154511965e-5,0.063459198615465,3.96833351503868,8.49279019,1.78758093,1.28970134893934,3.144905537,2.004755062,8.25,5.051,39.77,5,56.7,0,-3.2e-4,-1.12e-4,0,16430.47336,30136.98914,940169333384,11.16994694,2.794639178,-36.14686106,3.609097603,3.749031557,14.3333333333333,0.060475116,0,-2.359883342,-0.145187359,40.64209159,7.744737059,0,6.18973e-4
MI,Wayne,26,26163,26163516100,"+42.3756603,-083.0258411",NA,24.7,19.8,12.8,23.9,15.6,8.3,13.4,11.5,6.6,53.6,38,85.5,57.8,82.3,22.7,20,46.8,9.128783196,2,15.9,NA,0.9836,0.9986,0.9659,0.6536,8.547009,0,0.6191,0.0926,0.9732,0.7387,0.9854,0,3,0,0,0,0.9747,0,33.9,50,1.25,0.01,151.18,6.9,0.67,45,75,9,11.31641318,18,0.704137681,52.8,7,40,30,0.759463795,NA,173.44,166,1.64,5.79,NA,2,3098.95788260851,NA,392,0.3,0.05,0.02,0.08,0.09,0.02,0.03,0.005,30,85.9938582799919,NA,51.56960705,NA,0.0620901279794445,5.97791259264428,10.11692607,2.488563902,1.41754359699384,4.338338273,3.313604846,8.1,4.939,39.61,2,69.5,0,-3.3e-4,-1.05e-4,0,12722.35319,7274.549405,941861760000,11.17625713,2.796517372,-36.14738464,3.608889341,3.749058008,14.6666666666667,0.061017025,0,-2.35912323,-0.145168513,40.63075483,7.745175809,0,6.07691e-4
MI,Wayne,26,26163,26163516200,"+42.3661558,-083.0189390",NA,26.5,22.1,12.7,24,16.9,8.6,15,11.6,6.2,54.2,38.7,84.7,54.8,80.7,21.7,19.5,42.8,10.35233688,1,19,NA,0.9967,0.9964,0.9764,0.9503,7.490637,0,0.6772,0.9203,0.948,0.9716,0.973,0,3,0.5328,0,0.8431,0.9542,0.8698,34.8,52.69,1.31,0.01,113.52,6.9,NA,42,71,11,18.01764761,30,0.391637832,41.7,25.6,85,10,0.415210043,NA,52.73,50.01,1.01,1.71,NA,1,1440.18678076644,NA,252,0.3,0.05,0.02,0.07,0.09,0.02,0.03,0.005,30,90.3289269227359,NA,49.9966398,3.0349474971e-5,0.0603191451689545,5.49150979445184,9.429652078,2.052159071,1.2951321186054,2.673443476,2.143163959,8.267,5.097,39.63,2,69.8,0,-3.3e-4,-1.27e-4,0,7512.143914,7644.832244,941861760000,11.17625713,2.796517372,-36.14738464,3.608889341,3.749058008,14.3333333333333,0.061017025,0,-2.35912323,-0.145168513,40.63075483,7.745175809,0,5.33619e-4
MI,Wayne,26,26163,26163516300,"+42.3595713,-083.0152242",NA,30.4,22.7,11.4,28.1,16.9,10.9,18.3,15.5,7.2,58.3,41.8,85.3,52.1,80.6,19.9,17,38,10.24853837,2,20.1,NA,0.9902,0.8818,0.961,0.9188,3.053435,0,0.8288,0.098,0.8552,0.3022,0.8592,0,3,0.5642,0,0.8796,0.9688,0.9781,30.5,18.82,1.31,0,104.19,6.9,NA,51,58,10,21.59865488,14,0.154040093,77.2,6.5,70,30,0.320656491,NA,24.31,23.59,0.33,0.39,NA,2,501.88839023685,NA,357,0.3,0.05,0.02,0.07,0.08,0.02,0.03,0.004,30,95.5715602916455,NA,45.29195731,5.0844154261e-5,0.059084030242912,3.73787895155473,8.346554995,1.613845304,1.23097792463942,1.783889771,1.738367762,8.438,5.083,39.61,0,70.9,0,-2.6e-4,0,0,11576.99237,8796.385489,941861760000,11.17625713,2.796517372,-36.14738464,3.608889341,3.749058008,14.3333333333333,0.061017025,0,-2.35912323,-0.145168513,40.63075483,7.745175809,0,5.33619e-4
MI,Wayne,26,26163,26163516400,"+42.3508558,-083.0096137",64.6,18.8,16.5,14.5,18.2,14.2,6.1,10,9,6.3,47.5,35.5,84.5,62.1,82.7,27.5,24.9,56.7,9.531691313,2,13.3,5.01,0.8732,0.7121,0.6032,0.6926,14.05405,1.081081,0.5816,0.2304,0.9451,0.8932,0.8165,0,3,0.8685,0,0,0.8602,0.882,24.5,20.87,1.31,0,159.03,6.9,NA,43,84,5,23.81113962,11,0.05900136,24,0,20,15,0.15194906,NA,29.39,29.03,0.22,0.15,NA,5,751.724712073979,51.3019791,1010,0.3,0.05,0.02,0.07,0.08,0.02,0.04,0.004,30,84.9505384015752,NA,37.51217728,9.75811585435e-5,0.0569866772982165,2.77012003330687,6.321026715,0.822355766,0.855576322115866,0.771915597,0.906625745,8.567,5.001,39.57,1,69.3,0,-3.1e-4,-1.2e-4,0,13425.64419,10826.33502,941861760000,11.17625713,2.796517372,-36.14738464,3.608889341,3.749058008,14.3333333333333,0.061017025,0,-2.35912323,-0.145168513,40.63075483,7.745175809,0,5.66208e-4
MI,Wayne,26,26163,26163516500,"+42.3375655,-083.0148583",74,11,12.2,19.1,10.6,11.8,3.1,5.1,4.7,5.4,36.4,29.8,82.8,71.9,84.1,36,33.2,73.3,6.616390995,1,7.7,4.96,0.6884,0.8068,0.1337,0.1091,2.326934,2.908668,0.4828,0.0468,0.543,0.1797,0.7969,0,4,0.9897,0,0,0.8264,0,49.7,6.86,1.31,0,185.01,6.9,NA,67,72,1,34.23046207,5,NA,14.6,7.8,105,10,0.192824325,NA,23.57,23.08,0.29,0.2,NA,5,1736.72777788626,53.4724617,1580,0.3,0.04,0.02,0.07,0.07,0.02,0.04,0.004,30,87.4057484068824,0.095627718,33.20045648,1.9292023829e-4,0.052481768561508,1.99436621126283,4.023229267,0.326109588,0.572568535229068,0.249869005,0.184593735,8.978,4.859,39.48,7,44.2,0,-2.6e-4,-1.13e-4,1.679270228,27086.71524,14442.68157,936717602045,11.15712054,2.790821474,-36.14579679,3.609520926,3.748977792,14.3333333333333,0.059373605,0,-2.361428381,-0.145225667,40.66513522,7.743845235,2.541666666,7.42379e-4
MI,Wayne,26,26163,26163516600,"+42.3413645,-083.0201887",70.2,24.3,21.5,11.9,22.1,17.1,7.8,13.7,10.2,6.2,51.7,37.5,85.3,60.6,82.7,22.7,21.4,46.5,7.318784237,2,16.9,4.14,0.9909,0.9934,0.9703,0.7829,0.811359,0,0.3862,0.9931,0.9082,0.9985,0.9742,0,4,0.8797,0,0.6475,0.969,0,25.1,36.97,1.31,0,192.37,6.9,NA,77,79,6,42.11627361,8,NA,35.9,16.3,225,25,0.308071823,NA,23.67,23.37,0.18,0.12,NA,1,1452.31022764102,51.9493408,1520,0.3,0.03,0.02,0.07,0.08,0.02,0.03,0.005,30,83.1606059875003,NA,40.07505689,1.12760037482e-4,0.0519673192896105,2.36884461266442,5.287023681,0.617934823,0.612243859494573,0.212049831,0.534328305,8.667,4.97,39.35,3,75,0,-3.2e-4,-1.73e-4,0,12384.22494,20430.29072,941861760000,11.17625713,2.796517372,-36.14738464,3.608889341,3.749058008,14.3333333333333,0.061017025,1.47829e-7,-2.35912323,-0.145168513,40.63075483,7.745175809,0,5.33619e-4
MI,Wayne,26,26163,26163516700,"+42.3483954,-083.0210206",73.4,17,15.3,13.5,17.2,14.6,5.5,8.8,7.5,7,49.6,36.3,86.6,69.8,82.7,29.5,28,63.4,8.602639712,2,11,3.78,0.8511,0.9797,0.6691,0.5792,0.6335129,0,0.8177,0.2304,0.9877,0.9358,0.9705,0.4326,4,0.9012,0,0,0.9612,0,22.7,15.96,1.31,0,NA,6.9,NA,45,51,3,38.13414907,7,0.019551396,43.3,5.5,195,4,0.436949156,NA,6.11,6.11,0,0,NA,0,46.7943710009123,50.7059898,2230,0.3,0.03,0.02,0.07,0.08,0.02,0.03,0.005,30,81.802573825337,NA,46.23528344,7.2625382348e-5,0.053692100301535,2.76626159282938,7.002660238,1.100088273,0.829721863129743,0.409219034,1.162420158,8.8,5.073,39.41,0,46.7,0,-3.3e-4,-7.46e-5,0,14221.21371,29436.64277,941861760000,11.17625713,2.796517372,-36.14738464,3.608889341,3.749058008,14.3333333333333,0.061017025,1.77074e-6,-2.35912323,-0.145168513,40.63075483,7.745175809,0,5.88154e-4
MI,Wayne,26,26163,26163516800,"+42.3560005,-083.0254934",NA,24.1,19.5,13.6,23.2,15,8,13.3,11.3,6.4,51.1,36.8,84.8,57.9,81.8,22.5,20.6,46.5,8.88947382,2,16.5,3.25,0.97,0.9637,0.9586,0.5867,13.10616,3.931848,0.3973,0.1735,0.9899,0.4476,0.8858,0,4,0.5163,0,0.7715,0.9502,0.9395,35.3,27.34,1.31,0.01,141.29,6.9,NA,57,70,10,38.89173109,17,0.164615721,45.7,19.3,30,10,0.567054236,NA,97.44,93.41,1.42,2.61,NA,0,1317.0572554367,53.6123505,884,0.3,0.05,0.02,0.08,0.09,0.02,0.03,0.005,30,87.2621969512024,0.040789347,54.24008719,4.1041980537e-5,0.056302772062829,4.02337708835072,8.966695786,1.716314173,1.28960742337087,1.244190184,1.763685429,8.5,5.079,39.45,5,64.1,0,-3.3e-4,-7.85e-5,0,7882.418345,10302.24215,941861760000,11.17625713,2.796517372,-36.14738464,3.608889341,3.749058008,14.3333333333333,0.061017025,0,-2.35912323,-0.145168513,40.63075483,7.745175809,0,5.60062e-4
MI,Wayne,26,26163,26163516900,"+42.3446547,-083.0302450",73,21.9,14.6,10,24.9,14.4,8.6,13,12.5,10.1,59.5,43.7,89.2,69.2,81.5,28.2,26.4,60.1,7.135645458,1,11.5,2.91,0.8407,0.9819,0.6195,0.7413,1.348921,0,0.98740000000000006,0.0269,0.9948,0.0489,0.8994,0,4,0.9601,0,0.2418,0.9724,0,19.7,37.85,1.31,0,260.48,6.9,0.67,67,62,4,50.76029205,23,0.006769265,44.7,9.9,340,40,0.573166983,NA,5.84,5.72,0.04,0.08,NA,0,235.071612038529,49.9923286,1920,0.3,0.03,0.02,0.07,0.08,0.02,0.03,0.005,30,89.2320644993638,0.083999163,50.53622164,7.3669599749e-5,0.05225857541344,2.89237382461803,7.229019523,1.023594029,0.765832073165897,0.299316441,0.967987044,8.746,5.057,39.16,3,58,0,-3e-4,-6.24e-5,0,13198.1971,19744.02144,941861760000,11.17625713,2.796517372,-36.14738464,3.608889341,3.749058008,14.3333333333333,0.061017025,3.49258e-6,-2.35912323,-0.145168513,40.63075483,7.745175809,0,5.33619e-4
