CENSUS_TRACT_GEO_ID_2010,Improve Detroit Issues
26163538600,959.0498080003573
26163508100,612.0709624214508
26163535200,583.8377693195054
26163537800,774.059439644643
26163503400,551.3342183097725
26163985100,43.39207585192731
26163543100,582.3017087468043
26163546000,819.0149334318795
26163506300,535.386167539305
26163514100,601.8443029464146
26163541800,359.5880652144092
26163523800,552.5188331492355
26163542800,612.4049328986583
26163542200,611.999280044578
26163536900,856.6995044547962
26163545800,1355.2360441597625
26163515400,483.1467340281515
26163516600,231.1244696557015
26163539000,696.5661334422545
26163500900,921.7580924424616
26163534500,405.7305395593749
26163516300,341.65047243427324
26163538900,551.2137846710742
26163521100,325.2507912975529
26163511400,328.71283250196683
26163501800,830.2603091348433
26163536300,735.3604683308901
26163530300,407.16814701084536
26163533400,549.6284790491504
26163503500,534.5515506588104
26163538800,557.8128097547107
26163504900,273.72802665062136
26163502000,540.6277016240266
26163532400,617.6051380501648
26163544100,239.25868108979805
26163540600,806.2749619627166
26163515600,381.3423233009116
26163535100,626.1217106075592
26163501200,1027.0187721931316
26163521800,241.85467710264226
26163500600,561.8886703562264
26163507300,758.0443563274349
26163507100,712.5534587834319
26163524900,146.75593438806334
26163512600,416.81915274672116
26163533000,883.6617420975773
26163516500,288.26767008218644
26163507200,736.8661014679406
26163506400,248.9135754116946
26163543800,388.7998066451906
26163530900,642.2029960870777
26163543500,592.3643311738124
26163536800,848.8836333378559
26163531200,823.9957732312815
26163527200,735.8093665418384
26163518000,436.195912119001
26163526100,552.0247885859698
26163985300,140.58388118672138
26163525700,644.4922180315476
26163536500,672.6321507971745
26163530400,749.7540588735134
26163526300,552.8865673536885
26163522000,158.05592324031505
26163536100,797.3599731300357
26163530200,627.7716485289847
26163503900,578.277171273836
26163542400,1107.649145316144
26163521900,333.642663956321
26163531800,614.1393902097303
26163523300,634.5856839911922
26163506600,602.4184487211319
26163544300,492.73734923352305
26163505200,635.0350368836692
26163533100,775.3534395242407
26163535400,554.8298503823737
26163521300,319.82171231297554
26163504400,731.1441946408223
26163512200,159.873342512717
26163522200,294.00828766657816
26163514300,442.5496018348522
26163523100,218.2537086022707
26163501300,678.6799020290964
26163541500,400.67759752224094
26163500300,640.508173081885
26163504100,679.0647194166759
26163538300,136.75308208906847
26163503300,650.4767850172929
26163506100,507.23800225765274
26163546300,163.28145664260654
26163513900,385.29320893077494
26163511000,159.3309527099692
26163524100,284.76978395252456
26163513300,334.4083537448894
26163530500,1225.3750612454537
26163520300,844.0457766791529
26163518400,170.7956749912985
26163516200,520.9103743164337
26163522300,334.0730306230161
26163510700,636.3502321815926
26163504300,760.1997700593731
26163517000,529.0651173331383
26163537300,695.2568106587355
26163537600,833.9540363289509
26163503100,543.3076732289296
26163501100,716.2761904135376
26163507000,521.9855862569399
26163538200,340.16843533406984
26163544000,400.35432178717804
26163535600,825.1731142877856
26163533700,585.3836631009606
26163531300,549.7556336208555
26163540100,594.0055114185087
26163545600,706.800565168747
26163524500,43.85147293482079
26163543600,357.2785487596736
26163543000,501.36834117404584
26163539200,563.968371699966
26163516100,270.0257164493955
26163531500,841.5051736231611
26163526500,768.6729573812905
26163536200,921.3708967727192
26163538400,481.4466003414074
26163506800,380.1568654011428
26163540700,742.6179631646934
26163985200,42.17764412903969
26163539600,682.5353291978689
26163500700,709.5627928732401
26163520200,378.3337642575811
26163540300,577.5129264192394
26163533500,856.5927064981144
26163531600,879.8179839963701
26163531700,577.3112755439583
26163538100,379.55837636541656
26163507500,540.2318094104313
26163543900,229.28148334765785
26163518800,267.172432621377
26163985900,106.31831947034267
26163504700,580.5422703964009
26163504800,109.31142914843286
26163543200,576.1194673557969
26163523200,591.2001331124428
26163536700,725.61071270411
26163545200,695.808829377564
26163546900,365.20944431293026
26163511300,384.9790680892117
26163537200,478.61215602400745
26163546400,650.4090033968008
26163521500,342.9715755155347
26163516700,104.3993555051947
26163517500,260.28283256119767
26163506700,300.0675709698722
26163539500,374.67728607951375
26163535500,731.8370605940489
26163512900,524.9575479912129
26163541400,286.21295103422426
26163526200,791.2976048186997
26163501500,792.9732776107564
26163505500,333.0819584185921
26163545300,565.9335533135225
26163538500,782.1090586503001
26163522500,413.8418289915515
26163543400,774.7191078859578
26163537000,1091.8035417798137
26163524000,274.72646308128947
26163511900,643.4344595303759
26163531900,542.2218035538813
26163540400,630.0581505206934
26163505400,718.5727165396041
26163500800,701.5152159084755
26163507400,506.38593728053814
26163532300,661.2881015948502
26163541300,643.647504809651
26163534700,786.2949940275951
26163534300,1043.2432708885476
26163535300,501.27354793974723
26163515700,164.45156451078122
26163516000,673.9788903113852
26163542900,752.0450746690931
26163535000,613.9076015430657
26163530800,497.54386877743997
26163512400,365.497096817769
26163505000,448.7217436230892
26163522100,285.7113611656944
26163516900,290.5512065467301
26163506500,859.8663428814663
26163985000,63.80600939205563
26163501600,520.9880617165703
26163531100,452.60761447783636
26163535700,665.274241040705
26163543700,455.52000164378205
26163518600,256.1367480380865
26163501900,987.0455709767224
26163539700,1530.8804225506663
26163504000,639.3012981037447
26163544200,644.6204852537196
26163540200,856.4726480964194
26163521400,524.4097838806697
26163539300,911.5364147820522
26163511200,477.8032832128493
26163513200,849.5501476573986
26163542500,887.9243759301738
26163542300,947.5514332794322
26163508000,152.23597165156764
26163515200,727.3240995089498
26163532700,594.6803163005145
26163540800,386.23790292159225
26163534100,799.804515558733
26163516800,413.59102794085317
26163517100,439.8609944518241
26163503600,576.0837911981284
26163500500,790.8911774314164
26163985500,NA
26163524800,513.4033672811312
26163540500,769.8590329921408
