ToxPi Score,FIPS,Name,Source,Socioeconomic Stressors!1!0x88cceeff,Housing Composition & Disability!1!0x44aa99ff,Minority Status & Language!1!0x117733ff,Housing Type & Transportation!1!0x332288ff
0.41725721614876,26163500100,26163500100,"+42.4444014,-082.9509210",0.407926277100091,0.495059288537549,0.261957712233449,0.504085586723949
0.434316689551954,26163500200,26163500200,"+42.4461071,-082.9633178",0.413359612209024,0.578063241106719,0.255348860947444,0.490495043944627
0.566319328439004,26163500300,26163500300,"+42.4388723,-082.9656436",0.562536621743994,0.459486166007905,0.53919581550113,0.704058710502987
0.523810564196569,26163500400,26163500400,"+42.4261558,-082.9793388",0.576146593511959,0.679841897233202,0.236556516641819,0.602697249399297
0.440866147125007,26163500500,26163500500,"+42.4241342,-082.9679434",0.560738827038832,0.430830039525692,0.28153706478382,0.490358657151682
0.380129835330952,26163500600,26163500600,"+42.4315247,-082.9651767",0.275701805784904,0.512845849802372,0.368733542361922,0.36323814337461
0.520212156663459,26163500700,26163500700,"+42.4295995,-082.9473259",0.751305065785969,0.619565217391304,0.173151903693335,0.536826439783225
0.48847393552989,26163500800,26163500800,"+42.4246567,-082.9351961",0.618268257604006,0.661067193675889,0.075340904660459,0.599219386179204
0.512080514111046,26163500900,26163500900,"+42.4223549,-082.9475917",0.747709476375646,0.518774703557312,0.157290660606923,0.624547215904305
0.556251573373268,26163501000,26163501000,"+42.4187276,-082.9515638",0.605550524689714,0.495059288537549,0.224700943724176,0.899695536541632
0.551504877818046,26163501100,26163501100,"+42.4128315,-082.9601612",0.797448463218452,0.66897233201581,0.195621998065753,0.543976717972169
0.651963557249412,26163501200,26163501200,"+42.4114379,-082.9513090",0.928687476695254,0.778656126482214,0.290789456584227,0.609721169235953
0.620557950638221,26163501300,26163501300,"+42.4033690,-082.9505462",0.790137431417461,0.780632411067194,0.322471583359886,0.588990376708345
0.343208014711796,26163501400,26163501400,"+42.4091561,-082.9385202",0.396513609971768,0.507905138339921,0.0541925805452424,0.414220729990252
0.565051024021526,26163501500,26163501500,"+42.4183457,-082.9264931",0.619466787407447,0.679841897233202,0.304995278668903,0.655900132776554
0.467481844928097,26163501600,26163501600,"+42.4129132,-082.9207524",0.632650615245299,0.540513833992095,0.146963699856959,0.549799230618033
0.539984512207131,26163501700,26163501700,"+42.4042423,-082.9212936",0.53676823097001,0.685770750988142,0.314729175057187,0.622669891813182
0.330524814919049,26163501800,26163501800,"+42.3983391,-082.9316723",0.387804293400096,0.531620553359684,0.0409345185760656,0.361739894340349
0.590753979575244,26163501900,26163501900,"+42.3952603,-082.9401000",0.673999893464018,0.57905138339921,0.470176201421866,0.639788440015885
0.439286675574617,26163502000,26163502000,"+42.3932938,-082.9469658",0.540963085282054,0.596837944664032,0.210121111497798,0.409224560854584
0.578758930233032,26163503100,26163503100,"+42.4461391,-082.9778891",0.480437330208278,0.659090909090909,0.485550764382819,0.689956717250121
0.427468958954563,26163503200,26163503200,"+42.4454982,-082.9953169",0.645834443083151,0.566205533596838,0.213052212717011,0.284783646421251
0.476102954341078,26163503300,26163503300,"+42.4383158,-082.9950446",0.624260906621211,0.445652173913043,0.26431369204304,0.570185044787016
0.571836893678214,26163503400,26163503400,"+42.4389974,-082.9801546",0.499014542161615,0.483201581027668,0.611396017833629,0.693735433689945
0.557145897741515,26163503500,26163503500,"+42.4312541,-082.9922641",0.610477813881639,0.631422924901186,0.296036178215865,0.690646673967371
0.585012617869767,26163503600,26163503600,"+42.4249818,-082.9967805",0.528378522345922,0.448616600790514,0.637399388039212,0.725655960303421
0.535267933361446,26163503900,26163503900,"+42.4134536,-082.9873463",0.461860118254941,0.677865612648221,0.269600773071844,0.731745229470779
0.603754083591235,26163504000,26163504000,"+42.4169793,-082.9776759",0.573922654876685,0.66304347826087,0.472729912889662,0.705320288337726
0.564640446067869,26163504100,26163504100,"+42.4153882,-082.9679696",0.606895541469131,0.761857707509881,0.30665069967064,0.583157835621824
0.533701357606676,26163504200,26163504200,"+42.4081498,-082.9717558",0.639841794065946,0.606719367588933,0.210121111497798,0.678123157274029
0.521279578850172,26163504300,26163504300,"+42.4055763,-082.9803156",0.551536781547968,0.714426877470356,0.229947665355814,0.589206991026552
0.557845397128898,26163504400,26163504400,"+42.4030542,-082.9892425",0.670404304053694,0.769762845849802,0.292070867444262,0.499143571167832
0.605535181724923,26163504700,26163504700,"+42.3941500,-083.0172716",0.715349171682736,0.718379446640316,0.394134737953553,0.594277370623087
0.449689586688543,26163504800,26163504800,"+42.4089695,-083.0133701",0.538526074681724,0.532608695652174,0.458901480556403,0.26872209586387
0.466957241287044,26163504900,26163504900,"+42.4263378,-083.0129968",0.627856496031535,0.611660079051383,0.243452928632635,0.384859461432623
0.604395344444369,26163505000,26163505000,"+42.4391006,-083.0087283",0.828010973206201,0.611660079051383,0.394134737953553,0.583775587566338
0.579498285075363,26163505100,26163505100,"+42.4403465,-083.0179417",0.681244340275928,0.588932806324111,0.23684407734663,0.810971916354782
0.482485722566189,26163505200,26163505200,"+42.4138010,-083.0035037",0.54755499920098,0.598814229249012,0.224660584327009,0.558913077487755
0.542409896576856,26163505400,26163505400,"+42.4186463,-082.9937654",0.704402599477974,0.614624505928854,0.145354368894947,0.705258112005648
0.581548440562516,26163505500,26163505500,"+42.3970633,-083.0014601",0.667407979545091,0.506916996047431,0.427879553191432,0.72398923346611
0.506221435825992,26163506100,26163506100,"+42.4445674,-083.0320133",0.737521973046396,0.675889328063241,0.231556996317825,0.379917445876506
0.497722602830078,26163506200,26163506200,"+42.4374798,-083.0316910",0.675438129228147,0.66699604743083,0.287071347120269,0.361384887541067
0.591434168616062,26163506300,26163506300,"+42.4265859,-083.0313176",0.780669045970276,0.558300395256917,0.293680198406274,0.73308703483078
0.518180149923921,26163506400,26163506400,"+42.4225996,-083.0523153",0.847187450061258,0.342885375494071,0.127137145998944,0.755510628141409
0.621032072172543,26163506500,26163506500,"+42.4298760,-083.0459797",0.806264315772652,0.49901185770751,0.766193816274228,0.412658298935782
0.647467006310651,26163506600,26163506600,"+42.4370474,-083.0485200",0.743514622063602,0.637351778656127,0.635727820013285,0.573273804509589
0.410472775735791,26163506700,26163506700,"+42.4441868,-083.0465810",0.321632131252331,0.700592885375494,0.256670631204645,0.362995455110694
0.505813919925821,26163506800,26163506800,"+42.4438513,-083.0676404",0.60088957545411,0.549407114624506,0.291036657891872,0.581922331732794
0.505372849906626,26163506900,26163506900,"+42.4368143,-083.0671656",0.643437383476269,0.5800395256917,0.293680198406274,0.50433429205226
0.641238532891643,26163507000,26163507000,"+42.4296948,-083.0621938",0.839397006338891,0.824110671936759,0.332011535865104,0.56943491742582
0.50406613466155,26163507100,26163507100,"+42.4277494,-083.0763573",0.523584403132158,0.572134387351779,0.400743589239558,0.519802158922705
0.599841017202677,26163507200,26163507200,"+42.4209193,-083.0737640",0.831007297714803,0.445652173913043,0.613059242958281,0.509645354224581
0.377247578294671,26163507300,26163507300,"+42.4262623,-083.0877402",0.400135833377723,0.438735177865613,0.264601252747851,0.405518049187496
0.53591566030817,26163507400,26163507400,"+42.4362144,-083.0856365",0.506125818995366,0.50098814229249,0.421891913354774,0.714656766590049
0.494633681595962,26163507500,26163507500,"+42.4432546,-083.0881317",0.519988813721835,0.660079051383399,0.238165847603831,0.560301013674782
0.691162902585714,26163507800,26163507800,"+42.4243919,-083.0970382",0.678647525701806,0.735177865612648,0.412639521554367,0.938186697474037
0.468592845767411,26163507900,26163507900,"+42.4263906,-083.1066037",0.533172641559687,0.315217391304348,0.467178585565089,0.558802764640521
0.677522612550966,26163508000,26163508000,"+42.4392203,-083.1132634",0.954455867469238,0.545454545454545,0.48370375053086,0.726476286749221
0.552548543654808,26163508100,26163508100,"+42.4408940,-083.1014824",0.485564374367443,0.552371541501976,0.510270862494032,0.661987396255781
0.547485659453727,26163510400,26163510400,"+42.4147480,-083.0760398",0.634448409950461,0.621541501976285,0.458901480556403,0.475051245331761
0.564260901549044,26163510500,26163510500,"+42.4086539,-083.0689077",0.771586853459756,0.357707509881423,0.636018695021342,0.491730547833656
0.525999616628339,26163510600,26163510600,"+42.4074065,-083.0465471",0.805665050870932,0.392292490118577,0.481645339642287,0.42439558588156
0.650760462514751,26163510700,26163510700,"+42.3936461,-083.0398776",0.842393330847494,0.388339920948617,0.669463329079488,0.702845269183404
0.748288025969817,26163511000,26163511000,"+42.4008260,-083.0306599",0.66627603473073,0.853754940711463,0.65787709636211,0.815244032074965
0.645677382458706,26163511200,26163511200,"+42.3763856,-083.0658451",0.475643210994513,0.660079051383399,0.734871707729523,0.712115559727387
0.601698567337382,26163511300,26163511300,"+42.4154477,-083.0497684",0.734525648537794,0.536561264822134,0.447531689800286,0.688175666189313
0.706727142017252,26163511400,26163511400,"+42.3900705,-083.0776630",0.662720396313855,0.769762845849802,0.480216630043888,0.914208695861463
0.502814737927699,26163511900,26163511900,"+42.3735241,-083.0718813",0.416249400735098,0.514822134387352,0.379809143806736,0.700378272781609
0.611747002133706,26163512100,26163512100,"+42.3989089,-082.9638962",0.700660523091674,0.807312252964427,0.269600773071844,0.669414459406878
0.697713399135277,26163512200,26163512200,"+42.3953197,-082.9768484",1,0.83102766798419,0.448327318498795,0.511498610058125
0.686159154370625,26163512300,26163512300,"+42.3882982,-082.9663155",0.607481489373036,0.689723320158103,0.677207451676969,0.770224356274394
0.482067460138357,26163512400,26163512400,"+42.3908867,-082.9560714",0.475483407020721,0.558300395256917,0.412639521554367,0.481846516721422
0.548922376130634,26163512600,26163512600,"+42.3820764,-082.9560601",0.749507271080808,0.405138339920949,0.425857224126377,0.615186669394403
0.708692049656015,26163512900,26163512900,"+42.3755477,-082.9504678",0.871158046130081,0.669960474308301,0.489469021844295,0.804180656341384
0.450967825568445,26163513200,26163513200,"+42.3679701,-082.9383380",0.466787407446865,0.688735177865613,0,0.648348716961302
0.302419484241842,26163513300,26163513300,"+42.3582384,-082.9413094",0.301523464550152,0.358695652173913,0.231934320762774,0.317524499480527
0.658635944902111,26163513600,26163513600,"+42.3657136,-082.9802179",0.614845789165291,1,0.220982834260217,0.798715156182935
0.48498612740975,26163513700,26163513700,"+42.3580493,-082.9609921",0.453790017578437,0.736166007905138,0.305576130721083,0.44441235343434
0.604752907425285,26163513900,26163513900,"+42.3722151,-082.9837943",0.712952112075854,0.857707509881423,0.33994215740831,0.508409850335552
0.663037570116539,26163514100,26163514100,"+42.3798303,-082.9893988",0.738121237948117,0.816205533596838,0.33994215740831,0.757881351512891
0.648379509560421,26163514200,26163514200,"+42.3817139,-083.0084252",0.740518297554999,0.680830039525692,0.421891913354774,0.750277787806219
0.781334555583869,26163514300,26163514300,"+42.3888619,-082.9934067",0.81722420497523,0.787549407114625,0.550728154055868,0.969836456189754
0.547208770970781,26163514500,26163514500,"+42.3753160,-082.9999028",0.69797048953284,0.6699604743083,0.458901480556403,0.362002639485581
0.434516558712398,26163515200,26163515200,"+42.3616627,-083.0056672",0.433668033878442,0.66897233201581,0.201156280402202,0.434269588553137
0.571335058960228,26163515300,26163515300,"+42.3532902,-083.0005510",0.562922814680658,0.571146245059289,0.445850603356661,0.705420572744303
0.368203637530273,26163515400,26163515400,"+42.3609676,-082.9963793",0.184520321738667,0.387351778656126,0.339608506663774,0.561333943062525
0.499056075504126,26163515600,26163515600,"+42.3639483,-082.9917654",0.448676290417088,0.505928853754941,0.281784266091465,0.759834891753012
0.450954660496288,26163515700,26163515700,"+42.3530390,-082.9871415",0.311444627923081,0.58102766798419,0.363400371293393,0.547945974784489
0.579359477251799,26163515900,26163515900,"+42.3829752,-083.0169292",0.739319767751558,0.527667984189723,0.400743589239558,0.649706567826356
0.468186611093599,26163516000,26163516000,"+42.3714831,-083.0093251",0.434893197677516,0.557312252964427,0.199834510145001,0.680706483587454
0.498309531461484,26163516100,26163516100,"+42.3756603,-083.0258411",0.695573429925958,0.570158102766798,0.419248372840372,0.308258220312807
0.752251606098251,26163516200,26163516200,"+42.3661558,-083.0189390",0.841794065945773,0.937747035573123,0.369021103066733,0.860444219807374
0.491747857199572,26163516300,26163516300,"+42.3595713,-083.0152242",0.705161668353486,0.451581027667984,0.144320159342557,0.66592857343426
0.330102290892598,26163516400,26163516400,"+42.3508558,-083.0096137",0.161175624567198,0.611660079051383,0.124493605484542,0.423079854467269
0.232016902360051,26163516500,26163516500,"+42.3375655,-083.0148583",0.0945240504980557,0.234189723320158,0.336809259203265,0.262544576418724
0.708532680345165,26163516600,26163516600,"+42.3413645,-083.0201887",0.865764662014595,0.91403162055336,0.597197999871869,0.457136438940836
0.604583440958259,26163516700,26163516700,"+42.3483954,-083.0210206",0.510999840196026,0.788537549407115,0.866753580867922,0.252042793361975
0.489056463392751,26163516800,26163516800,"+42.3560005,-083.0254934",0.357508123368668,0.504940711462451,0.397610691034513,0.696166327705373
0.482354931252237,26163516900,26163516900,"+42.3446547,-083.0302450",0.515793959409791,0.602766798418972,0.416115474635327,0.394743492544857
0.335148744649534,26163517000,26163517000,"+42.3408105,-083.0361037",0.316238747136846,0.279644268774704,0.33020040791726,0.414511554769326
