ToxPi Score,FIPS,Name,Source,Air pollution-related deaths!1!0x88cceeff,Air pollution-related illnesses!1!0x44aa99ff
0.6886058415488,26163500100,26163500100,"+42.4444014,-082.9509210",0.576547231270358,0.800664451827243
0.450479941995736,26163500200,26163500200,"+42.4461071,-082.9633178",0.635179153094463,0.26578073089701
0.56088824439707,26163500300,26163500300,"+42.4388723,-082.9656436",0.390879478827362,0.730897009966777
0.576044022638978,26163500400,26163500400,"+42.4261558,-082.9793388",0.703583061889251,0.448504983388704
0.522579458266149,26163500500,26163500500,"+42.4241342,-082.9679434",0.234527687296417,0.810631229235881
0.149501661129568,26163500600,26163500600,"+42.4315247,-082.9651767",0,0.299003322259136
0.669067278452931,26163500700,26163500700,"+42.4295995,-082.9473259",0.703583061889251,0.634551495016611
0.865378163991905,26163500800,26163500800,"+42.4246567,-082.9351961",0.840390879478827,0.890365448504983
0.469336738558767,26163500900,26163500900,"+42.4223549,-082.9475917",0.576547231270358,0.362126245847176
0.478037378120705,26163501000,26163501000,"+42.4187276,-082.9515638",0.703583061889251,0.252491694352159
0.42291168417977,26163501100,26163501100,"+42.4128315,-082.9601612",0.234527687296417,0.611295681063123
0.370431893687708,26163501200,26163501200,"+42.4114379,-082.9513090",0,0.740863787375415
0.427997878948564,26163501300,26163501300,"+42.4033690,-082.9505462",0.390879478827362,0.465116279069768
0.888958628675317,26163501400,26163501400,"+42.4091561,-082.9385202",0.807817589576547,0.970099667774086
0.807465884619131,26163501500,26163501500,"+42.4183457,-082.9264931",0.817589576547231,0.79734219269103
0.360778945317995,26163501600,26163501600,"+42.4129132,-082.9207524",0.635179153094463,0.0863787375415282
0.734148928111507,26163501700,26163501700,"+42.4042423,-082.9212936",0.840390879478827,0.627906976744186
0.906776542902594,26163501800,26163501800,"+42.3983391,-082.9316723",0.853420195439739,0.960132890365449
0.725150692047139,26163501900,26163501900,"+42.3952603,-082.9401000",0.576547231270358,0.87375415282392
0.498652699470819,26163502000,26163502000,"+42.3932938,-082.9469658",0.635179153094463,0.362126245847176
0.373386215330007,26163503100,26163503100,"+42.4461391,-082.9778891",0.703583061889251,0.0431893687707641
0.509896436417155,26163503200,26163503200,"+42.4454982,-082.9953169",0.840390879478827,0.179401993355482
0.534310171307368,26163503300,26163503300,"+42.4383158,-082.9950446",0.390879478827362,0.677740863787375
0.80029651433333,26163503400,26163503400,"+42.4389974,-082.9801546",0.703583061889251,0.897009966777409
0.0382059800664452,26163503500,26163503500,"+42.4312541,-082.9922641",0,0.0764119601328904
0.402307184520653,26163503600,26163503600,"+42.4249818,-082.9967805",0.635179153094463,0.169435215946844
0.23198458991202,26163503900,26163503900,"+42.4134536,-082.9873463",0.390879478827362,0.0730897009966778
0.298429772636272,26163504000,26163504000,"+42.4169793,-082.9776759",0.390879478827362,0.205980066445183
0.264119601328904,26163504100,26163504100,"+42.4153882,-082.9679696",0,0.528239202657807
0.327242524916944,26163504200,26163504200,"+42.4081498,-082.9717558",0,0.654485049833887
0.429556202452195,26163504300,26163504300,"+42.4055763,-082.9803156",0.234527687296417,0.624584717607973
0.665539407187767,26163504400,26163504400,"+42.4030542,-082.9892425",0.390879478827362,0.940199335548173
0.117940199335548,26163504700,26163504700,"+42.3941500,-083.0172716",0,0.235880398671096
0.0465116279069768,26163504800,26163504800,"+42.4089695,-083.0133701",0,0.0930232558139535
0.49776532080903,26163504900,26163504900,"+42.4263378,-083.0129968",0.390879478827362,0.604651162790698
0.358436049217051,26163505000,26163505000,"+42.4391006,-083.0087283",0.703583061889251,0.0132890365448505
0.327556353955869,26163505100,26163505100,"+42.4403465,-083.0179417",0.635179153094463,0.0199335548172757
0.541842068241583,26163505200,26163505200,"+42.4138010,-083.0035037",0.635179153094463,0.448504983388704
0.422733126278312,26163505400,26163505400,"+42.4186463,-082.9937654",0.752442996742671,0.0930232558139535
0.384705704113325,26163505500,26163505500,"+42.3970633,-083.0014601",0.234527687296417,0.534883720930233
0.366536084928631,26163506100,26163506100,"+42.4445674,-083.0320133",0.390879478827362,0.3421926910299
0.550147716082115,26163506200,26163506200,"+42.4374798,-083.0316910",0.635179153094463,0.465116279069768
0.396333611090069,26163506300,26163506300,"+42.4265859,-083.0313176",0.234527687296417,0.558139534883721
0.382958001017239,26163506400,26163506400,"+42.4225996,-083.0523153",0.576547231270358,0.18936877076412
0.419589425043557,26163506500,26163506500,"+42.4298760,-083.0459797",0.234527687296417,0.604651162790698
0.344752020950794,26163506600,26163506600,"+42.4370474,-083.0485200",0.576547231270358,0.112956810631229
0.60573874273594,26163506700,26163506700,"+42.4441868,-083.0465810",0.390879478827362,0.820598006644518
0.487695737335916,26163506800,26163506800,"+42.4438513,-083.0676404",0.234527687296417,0.740863787375415
0.442948045061521,26163506900,26163506900,"+42.4368143,-083.0671656",0.390879478827362,0.495016611295681
0.504307033016979,26163507000,26163507000,"+42.4296948,-083.0621938",0.234527687296417,0.774086378737542
0.0980066445182724,26163507100,26163507100,"+42.4277494,-083.0763573",0,0.196013289036545
0.142857142857143,26163507200,26163507200,"+42.4209193,-083.0737640",0,0.285714285714286
0.475083056478405,26163507300,26163507300,"+42.4262623,-083.0877402",0,0.950166112956811
0.377076411960133,26163507400,26163507400,"+42.4362144,-083.0856365",0,0.754152823920266
0.550147716082115,26163507500,26163507500,"+42.4432546,-083.0881317",0.635179153094463,0.465116279069768
0.693778609845575,26163507800,26163507800,"+42.4243919,-083.0970382",0.390879478827362,0.996677740863787
