ToxPi Score,FIPS,Name,Source,Economic & Productivity Losses!1!0x88cceeff,Transition Risks!1!0x44aa99ff
0.439369455291429,26163500100,26163500100,"+42.4444014,-082.9509210",0.51152579582876,0.367213114754098
0.371312375159706,26163500200,26163500200,"+42.4461071,-082.9633178",0.375411635565313,0.367213114754098
0.37241007000054,26163500300,26163500300,"+42.4388723,-082.9656436",0.377607025246981,0.367213114754098
0.254407874610858,26163500400,26163500400,"+42.4261558,-082.9793388",0.141602634467618,0.367213114754098
0.304901837289234,26163500500,26163500500,"+42.4241342,-082.9679434",0.242590559824369,0.367213114754098
0.430587896564755,26163500600,26163500600,"+42.4315247,-082.9651767",0.493962678375412,0.367213114754098
0.471751453096039,26163500700,26163500700,"+42.4295995,-082.9473259",0.57628979143798,0.367213114754098
0.348809630922604,26163500800,26163500800,"+42.4246567,-082.9351961",0.330406147091109,0.367213114754098
0.44101599755268,26163500900,26163500900,"+42.4223549,-082.9475917",0.514818880351262,0.367213114754098
0.385033560670134,26163501000,26163501000,"+42.4187276,-082.9515638",0.402854006586169,0.367213114754098
0.434978675928092,26163501100,26163501100,"+42.4128315,-082.9601612",0.502744237102086,0.367213114754098
0.276361771427543,26163501200,26163501200,"+42.4114379,-082.9513090",0.185510428100988,0.367213114754098
0.399519533569668,26163501300,26163501300,"+42.4033690,-082.9505462",0.530186608122942,0.268852459016393
0.477788774720628,26163501400,26163501400,"+42.4091561,-082.9385202",0.588364434687157,0.367213114754098
0.477239927300211,26163501500,26163501500,"+42.4183457,-082.9264931",0.587266739846323,0.367213114754098
0.347711936081769,26163501600,26163501600,"+42.4129132,-082.9207524",0.32821075740944,0.367213114754098
0.473642727321805,26163501700,26163501700,"+42.4042423,-082.9212936",0.691547749725576,0.255737704918033
0.342885677781577,26163501800,26163501800,"+42.3983391,-082.9316723",0.62019758507135,0.0655737704918033
0.2210703424448,26163501900,26163501900,"+42.3952603,-082.9401000",0.389681668496158,0.0524590163934426
0.128430296377607,26163502000,26163502000,"+42.3932938,-082.9469658",0.256860592755214,0
0.411927084270573,26163503100,26163503100,"+42.4461391,-082.9778891",0.456641053787047,0.367213114754098
0.39569199762466,26163503200,26163503200,"+42.4454982,-082.9953169",0.529088913282108,0.262295081967213
0.401173273829875,26163503300,26163503300,"+42.4383158,-082.9950446",0.536772777167947,0.265573770491803
0.245626315884184,26163503400,26163503400,"+42.4389974,-082.9801546",0.12403951701427,0.367213114754098
0.417068255025103,26163503500,26163503500,"+42.4312541,-082.9922641",0.558726673984632,0.275409836065574
0.168670709542747,26163503600,26163503600,"+42.4249818,-082.9967805",0.166849615806806,0.170491803278689
0.321367259901747,26163503900,26163503900,"+42.4134536,-082.9873463",0.275521405049396,0.367213114754098
0.223123571647082,26163504000,26163504000,"+42.4169793,-082.9776759",0.0790340285400659,0.367213114754098
0.253310179770024,26163504100,26163504100,"+42.4153882,-082.9679696",0.139407244785949,0.367213114754098
0.318623022799662,26163504200,26163504200,"+42.4081498,-082.9717558",0.270032930845225,0.367213114754098
0.299044465638552,26163504300,26163504300,"+42.4055763,-082.9803156",0.312843029637761,0.285245901639344
0.179106008529629,26163504400,26163504400,"+42.4030542,-082.9892425",0.190998902305159,0.167213114754098
0.401615950765687,26163504700,26163504700,"+42.3941500,-083.0172716",0.239297475301866,0.563934426229508
0.0962876320382933,26163504800,26163504800,"+42.4089695,-083.0133701",0.0515916575192097,0.140983606557377
0.26548379550485,26163504900,26163504900,"+42.4263378,-083.0129968",0.458836443468716,0.0721311475409836
0.0624102499505138,26163505000,26163505000,"+42.4391006,-083.0087283",0.0526893523600439,0.0721311475409836
0.333540875636573,26163505100,26163505100,"+42.4403465,-083.0179417",0.594950603732162,0.0721311475409836
0.277385686779075,26163505200,26163505200,"+42.4138010,-083.0035037",0.403951701427003,0.150819672131148
0.333629051123788,26163505400,26163505400,"+42.4186463,-082.9937654",0.385290889132821,0.281967213114754
0.24992172176135,26163505500,26163505500,"+42.3970633,-083.0014601",0.339187705817783,0.160655737704918
0.236394882222742,26163506100,26163506100,"+42.4445674,-083.0320133",0.400658616904501,0.0721311475409836
0.180961292760613,26163506200,26163506200,"+42.4374798,-083.0316910",0.289791437980242,0.0721311475409836
0.270972269709021,26163506300,26163506300,"+42.4265859,-083.0313176",0.469813391877058,0.0721311475409836
0.241334509006496,26163506400,26163506400,"+42.4225996,-083.0523153",0.410537870472009,0.0721311475409836
0.159007395943928,26163506500,26163506500,"+42.4298760,-083.0459797",0.245883644346872,0.0721311475409836
0.259995321300678,26163506600,26163506600,"+42.4370474,-083.0485200",0.447859495060373,0.0721311475409836
0.0827176045059473,26163506700,26163506700,"+42.4441868,-083.0465810",0.0933040614709111,0.0721311475409836
0.297316945889043,26163506800,26163506800,"+42.4438513,-083.0676404",0.522502744237102,0.0721311475409836
0.306647352036134,26163506900,26163506900,"+42.4368143,-083.0671656",0.541163556531284,0.0721311475409836
0.219380612189811,26163507000,26163507000,"+42.4296948,-083.0621938",0.366630076838639,0.0721311475409836
0.200719799895629,26163507100,26163507100,"+42.4277494,-083.0763573",0.329308452250274,0.0721311475409836
0.0849129941876158,26163507200,26163507200,"+42.4209193,-083.0737640",0.0976948408342481,0.0721311475409836
0.232552950279822,26163507300,26163507300,"+42.4262623,-083.0877402",0.392974753018661,0.0721311475409836
0.267679185186518,26163507400,26163507400,"+42.4362144,-083.0856365",0.463227222832053,0.0721311475409836
0.188645156646452,26163507500,26163507500,"+42.4432546,-083.0881317",0.305159165751921,0.0721311475409836
0.100649619405805,26163507800,26163507800,"+42.4243919,-083.0970382",0.0472008781558727,0.154098360655738
0.37438951971352,26163507900,26163507900,"+42.4263906,-083.1066037",0.283205268935236,0.465573770491803
0.452325853412751,26163508000,26163508000,"+42.4392203,-083.1132634",0.439077936333699,0.465573770491803
0.30405607241187,26163508100,26163508100,"+42.4408940,-083.1014824",0.355653128430296,0.252459016393443
0.0794245199834446,26163510400,26163510400,"+42.4147480,-083.0760398",0.0867178924259056,0.0721311475409836
0.256153389357759,26163510500,26163510500,"+42.4086539,-083.0689077",0.440175631174533,0.0721311475409836
0.333382519659535,26163510600,26163510600,"+42.4074065,-083.0465471",0.522502744237102,0.144262295081967
0.342874880783142,26163510700,26163510700,"+42.3936461,-083.0398776",0.115257958287596,0.570491803278689
0.465041118569038,26163511000,26163511000,"+42.4008260,-083.0306599",0.756311745334797,0.173770491803279
