row#,Name,FIPS,Source,ToxPi Score,Transportation,Energy,"Food, Water, and Waste Management",Communications,Financial Services,Governance
1,26163500100,26163500100,"+42.4444014,-082.9509210",0.389830573922882,0.623662515348185,0.581310087832835,0.358745150952943,0.213689482470785,0.444810543657331,0.116765663275214
2,26163500200,26163500200,"+42.4461071,-082.9633178",0.315369444251664,0.597263637958253,0.358248400166154,0.550324675324675,0.146911519198664,0.115321252059308,0.12414718080293
3,26163500300,26163500300,"+42.4388723,-082.9656436",0.396628134142712,0.452990703385371,0.687167014827435,0.529684601113172,0.390651085141903,0.196046128500824,0.123229271887567
4,26163500400,26163500400,"+42.4261558,-082.9793388",0.457349457893485,0.332047009296615,0.939931732395808,0.400594535334795,0.377295492487479,0.342668863261944,0.351559114584268
5,26163500500,26163500500,"+42.4241342,-082.9679434",0.414415108182164,0.395895456937379,0.840564441849125,0.331695901501096,0.550918196994992,0.233937397034596,0.133479254775794
6,26163500600,26163500600,"+42.4315247,-082.9651767",0.347507386107023,0.515611296263813,0.681110823485501,0.19082054309327,0.242070116861436,0.261943986820428,0.193487550117691
7,26163500700,26163500700,"+42.4295995,-082.9473259",0.525277640703493,0.695492018944045,0.740763706196459,0.146989374262102,0.662771285475793,0.825370675453048,0.0802787838895103
8,26163500800,26163500800,"+42.4246567,-082.9351961",0.453100501042412,0.605244693913349,0.461745459361511,0.192127677517288,0.602671118530885,0.784184514003295,0.0726295429281468
9,26163500900,26163500900,"+42.4223549,-082.9475917",0.38779626620935,0.344325556919839,0.502405018331116,0.249620509360769,0.290484140233723,0.927512355848435,0.0124300165622157
10,26163501000,26163501000,"+42.4187276,-082.9515638",0.31871486417093,0.337572355727065,0.452251807526293,0.180637544273908,0.504173622704508,0.420098846787479,0.0175550080063293
11,26163501100,26163501100,"+42.4128315,-082.9601612",0.564227031293154,0.457288195053499,0.723618544226451,0.271673132062742,0.779632721202003,0.940691927512356,0.212457667701872
12,26163501200,26163501200,"+42.4114379,-082.9513090",0.41060561189203,0.365199087879319,0.696407823684163,0.315293472761005,0.821368948247078,0.227347611202636,0.0380167275779768
13,26163501300,26163501300,"+42.4033690,-082.9505462",0.478893126347748,0.294597439045781,0.594247220232254,0.485242030696576,0.612687813021703,0.726523887973641,0.160060367116532
14,26163501400,26163501400,"+42.4091561,-082.9385202",0.292417215146451,0.290913874758814,0.369337370794228,0.0971285208298195,0.196994991652755,0.759472817133443,0.0406557157096472
15,26163501500,26163501500,"+42.4183457,-082.9264931",0.474659141445072,0.815207858270479,0.408660474020384,0.0976977567886659,0.622704507512521,0.883031301482702,0.0206529505956815
16,26163501600,26163501600,"+42.4129132,-082.9207524",0.439710586270986,0.767935449921067,0.388330694535582,0.138429752066116,0.565943238731219,0.596375617792422,0.181248764579509
17,26163501700,26163501700,"+42.4042423,-082.9212936",0.368361978699932,0.629187861778635,0.531921426034399,0.0184474616292798,0.666110183639399,0.275123558484349,0.0893813806335329
18,26163501800,26163501800,"+42.3983391,-082.9316723",0.298235281443327,0.586826872478513,0.287765409876528,0.0195016022938101,0.253756260434057,0.606260296540362,0.0353012470366927
19,26163501900,26163501900,"+42.3952603,-082.9401000",0.399398508271922,0.615681459393089,0.572580985004003,0.0824548827795581,0.290484140233723,0.797364085667216,0.0378254965539427
