row#,Name,FIPS,Source,ToxPi Score,Transportation Sources,Exposures & Risks,Pollution Sources,Criteria Air Pollutants,Land Use
1,26163500100,26163500100,"+42.4444014,-082.9509210",0.364846748702701,0.137273537624189,0.235592683998387,0.338269680436477,0.531478770131772,0.581619071322678
2,26163500200,26163500200,"+42.4461071,-082.9633178",0.467007316744171,0.314092763239453,0.286065164882756,0.439204988308652,0.453879941434846,0.841793725855147
3,26163500300,26163500300,"+42.4388723,-082.9656436",0.40663786107227,0.348183873576586,0.168401419628519,0.402182385035074,0.469985358711567,0.644436268409605
4,26163500400,26163500400,"+42.4261558,-082.9793388",0.464890466608587,0.508639366230025,0.0579454481297799,0.477396726422447,0.44216691068814,0.83830388157254
5,26163500500,26163500500,"+42.4241342,-082.9679434",0.311595261771129,0.087727790600889,0.0905068822006731,0.367887763055339,0.480234260614934,0.531619612383807
6,26163500600,26163500600,"+42.4315247,-082.9651767",0.365403623928829,0.218183106157652,0.169620779850314,0.374512860483242,0.471449487554905,0.593251885598035
7,26163500700,26163500700,"+42.4295995,-082.9473259",0.379161041322197,0.184091995820518,0.269373478291075,0.226812159002338,0.471449487554905,0.74407808594215
8,26163500800,26163500800,"+42.4246567,-082.9351961",0.372269889967823,0.531821321259276,0.241951421747599,0.15705378020265,0.412884333821376,0.517638592808216
9,26163500900,26163500900,"+42.4223549,-082.9475917",0.348939451294795,0.268637949456608,0.245130790622205,0.227981293842556,0.414348462664715,0.588598759887892
10,26163501000,26163501000,"+42.4187276,-082.9515638",0.37468614549152,0.266365208767466,0.245130790622205,0.251363990646921,0.502196193265007,0.608374544155999
11,26163501100,26163501100,"+42.4128315,-082.9601612",0.421808710165971,0.336365621993046,0.19982478415907,0.303975058456742,0.448023426061493,0.820854660159505
12,26163501200,26163501200,"+42.4114379,-082.9513090",0.447099568144048,0.597730801244399,0.176774359818177,0.229540140296181,0.418740849194729,0.812711690166755
13,26163501300,26163501300,"+42.4033690,-082.9505462",0.397610308699759,0.460911811758039,0.149722627490209,0.265783320342946,0.445095168374817,0.666538615532783
14,26163501400,26163501400,"+42.4091561,-082.9385202",0.421984314097886,0.420002479353479,0.208143530561093,0.189010132501949,0.496339677891655,0.796425750181256
15,26163501500,26163501500,"+42.4183457,-082.9264931",0.368930573503156,0.517730328986594,0.199029941940419,0.150818394388153,0.458272327964861,0.518801874235751
16,26163501600,26163501600,"+42.4129132,-082.9207524",0.363894728802941,0.285001682418432,0.185009816564813,0.141075604053001,0.644216691068814,0.564169849909643
17,26163501700,26163501700,"+42.4042423,-082.9212936",0.369663743563376,0.331820140614762,0.161164550005268,0.150818394388153,0.63103953147877,0.573476101329928
18,26163501800,26163501800,"+42.3983391,-082.9316723",0.339443848224285,0.187728380923146,0.158780023349314,0.190179267342167,0.620790629575403,0.539740939931393
19,26163501900,26163501900,"+42.3952603,-082.9401000",0.384639682987406,0.131818959970248,0.165138761098526,0.248636009353079,0.569546120058565,0.808058564456612
20,26163502000,26163502000,"+42.3932938,-082.9469658",0.376515611699946,0.206364854574112,0.106741159591055,0.27630553390491,0.554904831625183,0.738261678804471
21,26163503100,26163503100,"+42.4461391,-082.9778891",0.435137985706071,0.316820052066423,0.312692379207581,0.537412314886984,0.453879941434846,0.554885240934521
22,26163503200,26163503200,"+42.4454982,-082.9953169",0.565057999829127,0.321365533444708,0.492945481723287,0.671862821512081,0.512445095168375,0.826671067297183
23,26163503300,26163503300,"+42.4383158,-082.9950446",0.440394546185967,0.0986369459087716,0.485394480646097,0.632501948558067,0.487554904831625,0.497884450985272
24,26163503400,26163503400,"+42.4389974,-082.9801546",0.514239373698988,0.427729797696563,0.29059426582677,0.506235385814497,0.464128843338214,0.882508575818896
25,26163503500,26163503500,"+42.4312541,-082.9922641",0.428687832326963,0.275001623386207,0.274142531602984,0.581839438815277,0.483162518301611,0.529293049528736
26,26163503600,26163503600,"+42.4249818,-082.9967805",0.461729364551252,0.185455640234004,0.189889256425927,0.609508963367108,0.483162518301611,0.840630444427612
27,26163503900,26163503900,"+42.4134536,-082.9873463",0.459246234651833,0.310001829998997,0.14871492979748,0.499220576773188,0.519765739385066,0.818528097304433
28,26163504000,26163504000,"+42.4169793,-082.9776759",0.356923742692569,0.0745458946038643,0.100072085718309,0.412704598597038,0.484626647144949,0.712669487398686
29,26163504100,26163504100,"+42.4153882,-082.9679696",0.347550169751615,0.226819520776392,0.093315926859771,0.340218238503507,0.499267935578331,0.578129227040071
30,26163504200,26163504200,"+42.4081498,-082.9717558",0.439487692688701,0.449093560174499,0.11676377230999,0.35385814497272,0.50805270863836,0.769670277347935
31,26163504300,26163504300,"+42.4055763,-082.9803156",0.456049181479546,0.50136659602477,0.151736829930655,0.439594699922058,0.616398243045388,0.571149538474857
32,26163504400,26163504400,"+42.4030542,-082.9892425",0.441927197337515,0.513639395746138,0.107225665686172,0.556118472330475,0.587115666178624,0.445536786746167
33,26163504700,26163504700,"+42.3941500,-083.0172716",0.588930155716937,0.563639690907266,0.301785928137604,0.729540140296181,0.765739385065886,0.583945634177749
34,26163504800,26163504800,"+42.4089695,-083.0133701",0.529151455047715,0.50719897992314,0.31808019361996,0.690958690568979,0.653001464128843,0.476517946997652
35,26163504900,26163504900,"+42.4263378,-083.0129968",0.483572406483453,0.235001387257304,0.495446137924174,0.703039750584567,0.505124450951684,0.479250305699538
36,26163505000,26163505000,"+42.4391006,-083.0087283",0.547872732634068,0.413519265166855,0.365373305629723,0.681605611847233,0.489019033674963,0.789846446851565
37,26163505100,26163505100,"+42.4403465,-083.0179417",0.631184924159603,0.67491100891977,0.548303145464498,0.699532346063913,0.566617862371889,0.666560257977946
38,26163505200,26163505200,"+42.4138010,-083.0035037",0.479783214089789,0.305456348620712,0.289518132043726,0.633281371784879,0.528550512445095,0.642109705554534
